comps,reqs_per_comp,comps_per_req,overlap,time,num_workflows
5,1,1,0,0.96,5
5,1,2,0,0.59,10
5,1,3,0,0.87,15
5,1,4,0,1.14,20
5,1,5,0,1.43,25
5,2,1,0,0.49,5
5,2,2,0,1.68,20
5,2,3,0,3.74,45
5,2,4,0,6.61,80
5,2,5,0,10.34,125
5,3,1,0,0.67,5
5,3,2,0,4.46,40
5,3,3,0,14.84,135
5,3,4,0,35.40,320
5,3,5,0,69.52,625
5,4,1,0,0.82,5
5,4,2,0,10.99,80
5,4,3,0,55.88,405
5,4,4,0,175.92,1280
5,4,5,0,425.97,3125
5,5,1,0,0.97,5
5,5,2,0,25.68,160
5,5,3,0,195.34,1215
5,5,4,0,827.93,5120
5,5,5,0,2682.89,15625
10,1,1,0,0.68,10
10,1,2,0,1.22,20
10,1,3,0,1.79,30
10,1,4,0,2.36,40
10,1,5,0,2.98,50
10,2,1,0,1.05,10
10,2,2,0,3.61,40
10,2,3,0,7.86,90
10,2,4,0,13.93,160
10,2,5,0,21.75,250
10,3,1,0,1.36,10
10,3,2,0,9.33,80
10,3,3,0,31.36,270
10,3,4,0,73.66,640
10,3,5,0,139.78,1250
10,4,1,0,1.63,10
10,4,2,0,21.78,160
10,4,3,0,109.88,810
10,4,4,0,349.05,2560
10,4,5,0,862.89,6250
10,5,1,0,1.96,10
10,5,2,0,52.17,320
10,5,3,0,396.34,2430
10,5,4,0,1677.60,10240
10,5,5,0,5130.83,31250
100,1,1,0,7.60,100
100,1,2,0,13.23,200
100,1,3,0,19.36,300
100,1,4,0,25.09,400
100,1,5,0,31.41,500
100,2,1,0,11.50,100
100,2,2,0,37.89,400
100,2,3,0,82.22,900
100,2,4,0,144.40,1600
100,2,5,0,227.21,2500
100,3,1,0,15.65,100
100,3,2,0,98.92,800
100,3,3,0,328.31,2700
100,3,4,0,769.53,6400
100,3,5,0,1496.94,12500
100,4,1,0,19.86,100
100,4,2,0,240.20,1600
100,4,3,0,1203.18,8100
100,4,4,0,3863.67,25600
100,4,5,0,9440.71,62500
100,5,1,0,24.19,100
100,5,2,0,571.95,3200
100,5,3,0,4332.88,24300
100,5,4,0,18399.78,102400
100,5,5,0,56028.42,312500
